array,label,row,col,x,y,Power_uW,crop_file
289 35 CA,R02,1,17,3182,465,35.215,289 35 CA\R2_35.215uW.png
289 35 CA,U01,1,20,3690,370,35.506,289 35 CA\U1_35.506uW.png
289 35 CA,X02,1,23,4201,448,3.663,289 35 CA\X2_3.663uW.png
289 35 CA,B04,2,2,464,707,34.855,289 35 CA\B4_34.855uW.png
289 35 CA,X06,3,23,4208,840,0.838,289 35 CA\X6_0.838uW.png
289 35 CA,E07,4,5,979,1004,32.954,289 35 CA\E7_32.954uW.png
289 35 CA,G07,4,7,1319,998,40.971,289 35 CA\G7_40.971uW.png
289 35 CA,G09,5,7,1323,1193,31.406,289 35 CA\G9_31.406uW.png
289 35 CA,P10,5,15,2855,1256,3.014,289 35 CA\P10_3.014uW.png
289 35 CA,A11,6,1,307,1407,34.148,289 35 CA\A11_34.148uW.png
289 35 CA,G11,6,7,1326,1390,35.161,289 35 CA\G11_35.161uW.png
289 35 CA,I11,6,9,1667,1385,3.666,289 35 CA\I11_3.666uW.png
289 35 CA,V12,6,21,3878,1435,39.314,289 35 CA\V12_39.314uW.png
289 35 CA,F14,7,6,1159,1676,35.393,289 35 CA\F14_35.393uW.png
289 35 CA,K13,7,11,2009,1575,35.803,289 35 CA\K13_35.803uW.png
289 35 CA,O13,7,14,2689,1564,2.279,289 35 CA\O13_2.279uW.png
289 35 CA,R14,7,17,3201,1642,7.968,289 35 CA\R14_7.968uW.png
289 35 CA,Y13,7,24,4390,1535,36.185,289 35 CA\Y13_36.185uW.png
289 35 CA,C19,9,3,660,2187,14.266,289 35 CA\C19_14.266uW.png
289 35 CA,K21,10,11,2022,2360,37.404,289 35 CA\K21_37.404uW.png
289 35 CA,P20,10,15,2871,2236,35.733,289 35 CA\P20_35.733uW.png
289 35 CA,S21,10,18,3382,2337,3.29,289 35 CA\S21_3.29uW.png
289 35 CA,V20,10,21,3891,2219,38.584,289 35 CA\V20_38.584uW.png
289 35 CA,A23,11,1,327,2584,32.41,289 35 CA\A23_32.41uW.png
289 35 CA,K23,11,11,2025,2556,36.999,289 35 CA\K23_36.999uW.png
289 35 CA,X22,11,23,4234,2409,37.265,289 35 CA\X22_37.265uW.png
289 35 CA,S25,12,18,3388,2729,0.01,289 35 CA\S25_0.01uW.png
289 35 CA,B26,13,2,500,2864,34.052,289 35 CA\B26_34.052uW.png
289 35 CA,W27,13,22,4074,2914,38.217,289 35 CA\W27_38.217uW.png
289 35 CA,L28,14,12,2202,3032,37.035,289 35 CA\L28_37.035uW.png
289 35 CA,B30,15,2,507,3257,40.989,289 35 CA\B30_40.989uW.png
289 35 CA,D30,15,4,847,3252,0.001,289 35 CA\D30_0.001uW.png
289 35 CA,K31,15,11,2038,3341,39.52,289 35 CA\K31_39.52uW.png
289 35 CA,W31,15,22,4080,3307,1.925,289 35 CA\W31_1.925uW.png
289 35 CA,J32,16,10,1870,3431,31.057,289 35 CA\J32_31.057uW.png
289 35 CA,O33,16,14,2722,3525,36.184,289 35 CA\O33_36.184uW.png
289 35 CA,S33,16,18,3402,3514,36.342,289 35 CA\S33_36.342uW.png
289 35 CA,U33,16,20,3742,3508,6.149,289 35 CA\U33_6.149uW.png
