array,label,row,col,x,y,Power_uW,crop_file
289 42 CC,H02,1,8,1497,494,4.653,289 42 CC\H2_4.653uW.png
289 42 CC,N02,1,13,2514,459,10.956,289 42 CC\N2_10.956uW.png
289 42 CC,R02,1,17,3196,465,6.79,289 42 CC\R2_6.79uW.png
289 42 CC,V02,1,21,3876,452,12.672,289 42 CC\V2_12.672uW.png
289 42 CC,K03,2,11,2008,582,12.134,289 42 CC\K3_12.134uW.png
289 42 CC,B06,3,2,482,902,8.767,289 42 CC\B6_8.767uW.png
289 42 CC,O05,3,14,2690,767,9.997,289 42 CC\O5_9.997uW.png
289 42 CC,V06,3,21,3882,845,6.349,289 42 CC\V6_6.349uW.png
289 42 CC,X06,3,23,4223,838,7.58,289 42 CC\X6_7.58uW.png
289 42 CC,J08,4,10,1846,1075,9.227,289 42 CC\J8_9.227uW.png
289 42 CC,B12,6,2,492,1491,37.358,289 42 CC\B12_37.358uW.png
289 42 CC,L12,6,12,2191,1445,5.282,289 42 CC\L12_5.282uW.png
289 42 CC,D14,7,4,835,1682,20.624,289 42 CC\D14_20.624uW.png
289 42 CC,G13,7,7,1343,1574,11.897,289 42 CC\G13_11.897uW.png
289 42 CC,O13,7,14,2703,1551,10.591,289 42 CC\O13_10.591uW.png
289 42 CC,S13,7,18,3383,1541,6.521,289 42 CC\S13_6.521uW.png
289 42 CC,U13,7,20,3723,1535,17.269,289 42 CC\U13_17.269uW.png
289 42 CC,X14,7,23,4235,1624,10.456,289 42 CC\X14_10.456uW.png
289 42 CC,O19,9,14,2714,2140,10.302,289 42 CC\O19_10.302uW.png
289 42 CC,B20,10,2,506,2276,10.609,289 42 CC\B20_10.609uW.png
289 42 CC,E21,10,5,1017,2365,11.989,289 42 CC\E21_11.989uW.png
289 42 CC,G21,10,7,1357,2359,37.589,289 42 CC\G21_37.589uW.png
289 42 CC,J22,11,10,1868,2449,18.67,289 42 CC\J22_18.67uW.png
289 42 CC,T22,11,19,3567,2402,6.37,289 42 CC\T22_6.37uW.png
289 42 CC,V22,11,21,3909,2414,13.465,289 42 CC\V22_13.465uW.png
289 42 CC,Y23,11,24,4420,2504,7.795,289 42 CC\Y23_7.795uW.png
289 42 CC,B26,13,2,515,2865,11.316,289 42 CC\B26_11.316uW.png
289 42 CC,I27,13,9,1708,2958,18.679,289 42 CC\I27_18.679uW.png
289 42 CC,W27,13,22,4089,2919,19.81,289 42 CC\W27_19.81uW.png
289 42 CC,R28,14,17,3241,3014,14.104,289 42 CC\R28_14.104uW.png
289 42 CC,U31,15,20,3755,3301,7.79,289 42 CC\U31_7.79uW.png
289 42 CC,B32,16,2,524,3454,6.007,289 42 CC\B32_6.007uW.png
289 42 CC,F32,16,6,1203,3428,13.21,289 42 CC\F32_13.21uW.png
289 42 CC,H32,16,8,1545,3435,16.48,289 42 CC\H32_16.48uW.png
289 42 CC,J32,16,10,1885,3430,10.387,289 42 CC\J32_10.387uW.png
289 42 CC,O33,16,14,2737,3514,10.963,289 42 CC\O33_10.963uW.png
289 42 CC,S33,16,18,3418,3504,8.308,289 42 CC\S33_8.308uW.png
289 42 CC,X32,16,23,4265,3391,7.384,289 42 CC\X32_7.384uW.png
